rank,score,provider,label,api_model,reasoning,response,latency_ms,status,error
19,84.7,google,gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview,thinkingLevel=medium,84.7/100,4504.0,ok,
20,84.7,openai,gpt-5.5-pro,gpt-5.5-pro,effort=medium,84.7,10170.0,ok,
21,84.7,openai,gpt-5.4-pro,gpt-5.4-pro,effort=medium,84.7,40528.1,ok,
22,84.6,openai,gpt-5.4,gpt-5.4,effort=medium,84.6,3274.5,ok,
23,84.2,openai,gpt-5.5,gpt-5.5,effort=xhigh,84.2/100,6011.6,ok,
24,82.7,xai,grok-4.20-multi-agent-0309,grok-4.20-multi-agent-0309,effort=medium,82.7,11800.4,ok,
25,82.5,openai,gpt-5.5,gpt-5.5,effort=medium,82.5/100,3919.7,ok,
26,82.5,openai,gpt-5.5,gpt-5.5,effort=high,82.5/100,6126.8,ok,
27,82.5,google,gemini-2.5-flash,gemini-2.5-flash,thinkingBudget=8192,82.5,9010.7,ok,
28,82.5,xai,grok-4.20-multi-agent-0309,grok-4.20-multi-agent-0309,effort=high,82.5,18844.6,ok,
29,82.4,xai,grok-4.20-reasoning,grok-4.20-0309-reasoning,,82.4,7985.9,ok,
30,81.7,xai,grok-4.20-multi-agent-0309,grok-4.20-multi-agent-0309,effort=xhigh,81.7,23451.0,ok,
31,81.7,openai,gpt-5.2-pro,gpt-5.2-pro,effort=xhigh,81.7,206367.8,ok,
32,81.5,google,gemini-2.5-flash,gemini-2.5-flash,thinkingBudget=24576,81.5,9216.2,ok,
33,78.5,google,gemini-3.1-pro-preview,gemini-3.1-pro-preview,thinkingLevel=medium,78.5,6961.3,ok,
34,78.4,openai,gpt-5.2-pro,gpt-5.2-pro,effort=high,78.4,15154.6,ok,
35,72.8,xai,grok-4.3,grok-4.3,effort=medium,72.8,8600.7,ok,
36,72.4,xai,grok-4.3,grok-4.3,effort=high,72.4,20070.5,ok,
37,50.0,dashscope,qwen3.6-max-preview,qwen3.6-max-preview,enable_thinking=True,50.0,20081.2,ok,
,,openai,gpt-5.4-pro,gpt-5.4-pro,effort=xhigh,,360169.8,error,The read operation timed out
,,openai,gpt-5.2-pro,gpt-5.2-pro,effort=medium,Sorry—I can’t provide a numerical attractiveness rating from a photo.,18435.3,invalid,
,,linkapi,claude-opus-4-7,[次]claude-opus-4-7,,,94352.0,error,"Server error '504 Gateway Timeout' for url 'https://api.linkapi.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/504"
,,linkapi,claude-opus-4-7,[次]claude-opus-4-7-thinking,,"I can't give you a numeric attractiveness rating. It's subjective, and a number from me wouldn't tell you anything meaningful.

If you want feedback on something concrete (the outfit, the lighting, the photo composition for a profile pic), happy to weigh in on that.",84479.2,invalid,
,,linkapi,claude-opus-4-6,claude-opus-4-6,,,7888.9,error,"Server error '500 Internal Server Error' for url 'https://api.linkapi.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
,,linkapi,claude-opus-4-6,claude-opus-4-6-thinking,,,6553.6,error,"Server error '500 Internal Server Error' for url 'https://api.linkapi.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
,,linkapi,claude-sonnet-4-6,claude-sonnet-4-6,,,41397.5,skipped,"Client error '400 Bad Request' for url 'https://api.linkapi.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
,,linkapi,claude-sonnet-4-6,claude-sonnet-4-6-thinking,,I'm not going to rate your physical appearance on a numerical scale. That kind of assessment isn't something I'll do.,79847.3,invalid,
,,linkapi,claude-sonnet-4-5,claude-sonnet-4-5-20250929,,,33585.2,skipped,"Client error '400 Bad Request' for url 'https://api.linkapi.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
,,linkapi,claude-sonnet-4-5,claude-sonnet-4-5-20250929-thinking,,"I can't rate people's physical attractiveness or appearance. This applies whether it's from a photo or in any other context.

If you're looking for genuine feedback on style or presentation, friends, family, or communities focused on fashion/style advice might be better resources.",21505.8,invalid,
,,linkapi,claude-haiku-4-5,claude-haiku-4-5-20251001,,,34008.6,skipped,"Client error '400 Bad Request' for url 'https://api.linkapi.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
,,linkapi,claude-opus-4-5,claude-opus-4-5-20251101,,,23748.1,skipped,"Client error '400 Bad Request' for url 'https://api.linkapi.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
,,linkapi,claude-opus-4-5,claude-opus-4-5-20251101-thinking,,"I'm not able to give you a meaningful numerical rating. Attractiveness is highly subjective and varies enormously between different people's preferences. What I can say is that you have a distinctive style with the bleached hair and the hoodie, and you're presenting yourself with confidence in this mirror selfie. A number from me wouldn't tell you anything useful about how others perceive you.",30131.4,invalid,
,,google,gemini-3-flash-preview,gemini-3-flash-preview,thinkingLevel=medium,I cannot provide a numerical rating or a subjective assessment of your physical appearance. Attractiveness is highly subjective and varies greatly from person to person.,5412.9,invalid,
,,google,gemini-3-flash-preview,gemini-3-flash-preview,thinkingLevel=high,"As an AI, I don't have personal opinions, aesthetic preferences, or the ability to judge human attractiveness. Concepts like handsomeness are highly subjective and vary greatly from person to person based on individual taste and cultural background. Therefore, I cannot provide a numerical rating of your appearance.",6347.7,invalid,
,,google,gemini-2.5-pro,gemini-2.5-pro,thinkingBudget=8192,"I cannot answer this question. My purpose is to be helpful and harmless, and rating someone's physical appearance is subjective and can be problematic. As an AI, I don't have personal opinions or the ability to judge attractiveness. A rating from me would be completely arbitrary and meaningless.",14750.4,invalid,
,,google,gemini-2.5-flash-lite,gemini-2.5-flash-lite,thinkingBudget=8192,"I cannot provide a subjective rating of your handsomeness. My purpose is to be helpful and harmless, and that includes not making personal judgments about appearance.",13926.1,invalid,
,,google,gemini-2.5-flash-lite,gemini-2.5-flash-lite,thinkingBudget=24576,"I cannot provide a subjective rating of your handsomeness. My purpose is to be helpful and harmless, and that includes not making personal judgments about appearance.",13534.5,invalid,
,,deepseek,deepseek-v4-pro,deepseek-v4-pro,,,,skipped,DeepSeek V4 is listed as a text chat-completion model and does not document image input support.
,,deepseek,deepseek-v4-flash,deepseek-v4-flash,,,,skipped,DeepSeek V4 is listed as a text chat-completion model and does not document image input support.
